date,open,high,low,close,volume,Name
2015-07-28,1.62,1.77,1.62,1.77,14614569,AMD
2016-02-11,1.66,1.81,1.53,1.78,50804186,CHK
2015-07-27,1.67,1.7,1.61,1.62,11916468,AMD
2015-09-29,1.67,1.69,1.65,1.67,7005323,AMD
2015-09-24,1.68,1.73,1.66,1.72,11247701,AMD
2015-08-21,1.68,1.8,1.68,1.78,12529458,AMD
2016-02-16,1.68,1.91,1.65,1.86,39305372,CHK
